"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
NA,NA,NA,NA,NA,NA,NA,NA,NA,183
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
158,158,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,173,151,NA,160,NA,149,162
NA,NA,NA,NA,NA,NA,157,184,173,182
NA,NA,NA,NA,NA,NA,157,184,173,182
NA,NA,NA,NA,NA,NA,157,184,173,182
NA,NA,NA,NA,NA,NA,157,184,173,182
NA,NA,NA,NA,NA,NA,157,184,173,NA
NA,NA,NA,NA,NA,NA,157,184,173,182
NA,NA,NA,NA,NA,NA,157,NA,173,NA
NA,NA,NA,NA,NA,NA,157,NA,173,182
NA,NA,NA,NA,NA,NA,157,184,NA,NA
NA,NA,NA,NA,NA,NA,157,NA,NA,NA
NA,NA,NA,NA,NA,NA,157,NA,NA,NA
NA,NA,NA,NA,NA,NA,157,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,191,149,NA,NA,NA,NA
NA,177,NA,NA,190,149,NA,NA,NA,NA
NA,177,NA,NA,190,149,NA,NA,NA,NA
NA,177,NA,NA,190,149,NA,NA,NA,NA
NA,177,NA,NA,190,149,NA,NA,NA,NA
NA,177,NA,NA,190,149,NA,NA,NA,NA
NA,177,NA,NA,190,149,NA,NA,NA,NA
NA,177,NA,NA,190,149,NA,NA,NA,NA
NA,177,NA,NA,190,149,NA,NA,NA,NA
NA,177,NA,NA,NA,149,NA,NA,NA,NA
NA,177,NA,NA,NA,149,NA,NA,NA,NA
NA,NA,NA,NA,155,NA,191,180,NA,142
NA,NA,NA,NA,155,NA,NA,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,NA,NA,NA,NA,NA
NA,NA,NA,NA,155,NA,NA,NA,NA,NA
NA,NA,NA,NA,155,NA,NA,NA,NA,NA
NA,NA,NA,NA,155,NA,NA,180,NA,NA
NA,NA,NA,NA,155,NA,NA,180,NA,NA
NA,NA,NA,NA,155,NA,NA,180,NA,NA
NA,NA,NA,NA,155,NA,NA,180,NA,NA
NA,NA,NA,NA,155,NA,NA,180,NA,NA
NA,NA,NA,NA,155,183,191,180,182,142
NA,NA,NA,NA,155,183,191,180,182,142
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
154,140,NA,NA,NA,NA,NA,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,141,175,134,NA,NA,151,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
NA,141,NA,NA,NA,NA,NA,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,141,175,134,171,NA,151,NA,NA,NA
130,NA,NA,NA,NA,NA,151,NA,NA,NA
NA,NA,NA,NA,171,NA,151,NA,NA,NA
130,NA,NA,NA,171,NA,151,NA,NA,NA
130,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,165,130,148,160,NA,156,NA,NA,NA
157,165,130,148,160,NA,156,NA,NA,NA
157,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,NA,NA,NA,160,NA,NA,NA,NA,NA
157,NA,NA,NA,NA,NA,NA,NA,NA,NA
157,NA,NA,NA,160,NA,NA,NA,NA,NA
157,165,130,148,160,NA,156,NA,NA,NA
157,165,130,148,160,NA,156,NA,NA,NA
157,165,130,148,160,NA,156,NA,NA,NA
157,164,130,148,160,NA,156,NA,NA,NA
157,164,130,148,160,NA,156,NA,NA,NA
157,164,130,148,160,NA,156,NA,NA,NA
157,164,130,148,160,NA,156,NA,NA,NA
157,164,130,148,160,NA,156,NA,NA,NA
157,164,130,148,160,NA,156,NA,NA,NA
157,164,130,148,160,NA,156,NA,NA,NA
157,NA,NA,148,NA,NA,NA,NA,NA,NA
157,164,130,148,160,NA,156,NA,NA,NA
157,164,NA,NA,NA,NA,NA,NA,NA,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,NA,NA,NA,153,NA,NA,NA
NA,NA,NA,172,NA,NA,NA,NA,NA,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,172,NA,182,153,139,157,NA
182,142,NA,NA,NA,NA,NA,NA,NA,NA
182,142,NA,NA,NA,NA,NA,NA,NA,NA
182,142,NA,NA,NA,NA,NA,NA,NA,NA
182,142,NA,NA,NA,NA,NA,NA,NA,NA
182,142,NA,NA,NA,NA,NA,NA,NA,NA
182,142,NA,NA,NA,NA,NA,NA,NA,NA
182,142,NA,NA,NA,NA,NA,NA,NA,NA
182,142,NA,NA,NA,NA,NA,NA,NA,NA
